web-scraper-order,web-scraper-start-url,pagination-selector,data-page-selector,data-page-selector-href,image-0-src,text-1,text-2,text-3,text-4,text-5,text-6,rating
"1756122542-143","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend overshirt","https://www2.hm.com/en_in/productpage.1265552001.html","https://image.hm.com/assets/hm/76/7b/767b281a8059eceda0ca139221d3424f1887d5bd.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Linen-blend overshirt","Overshirt in twill made from a cotton and linen blend with a turn-down collar, French front and a yoke at the back. Long sleeves with a slit and button at the cuffs. Patch chest pocket and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Black","",""
"1756122548-144","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Shirt","https://www2.hm.com/en_in/productpage.1228156003.html","https://image.hm.com/assets/hm/24/34/243454170dc9d8f1bbe7e1f37caea6957ee0b750.jpg?imwidth=2160","Rs. 2,299.00","Slim Fit Shirt","Shirt in a cotton weave with a cut-away collar, classic front and a yoke at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Gently rounded hem. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","Light blue","Reviews [6]","4.8"
"1756122555-145","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Shirt","https://www2.hm.com/en_in/productpage.1228156002.html","https://image.hm.com/assets/hm/63/db/63dbae3046eab700de000b6614d1e4440125deb6.jpg?imwidth=2160","Rs. 2,299.00","Slim Fit Shirt","Shirt in a cotton weave with a cut-away collar, classic front and a yoke at the back. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Gently rounded hem. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","Black","Reviews [6]","4.8"
"1756122562-146","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Corduroy overshirt","https://www2.hm.com/en_in/productpage.1251261002.html","https://image.hm.com/assets/hm/db/be/dbbed13b0e7c7532fc80db8f7579680d19f2ef57.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Corduroy overshirt","Overshirt in soft cotton corduroy with a collar, zip down the front and a yoke at the back. Open chest pocket, discreet side pockets and long sleeves with a press-stud at the cuffs. Straight-cut hem. Regular fit for comfortable wear and a classic silhouette. Lined.","XS

S

M

L

XL

XXL","White","Reviews [25]","4"
"1756122569-147","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved linen-blend shirt","https://www2.hm.com/en_in/productpage.1256946001.html","https://image.hm.com/assets/hm/61/d2/61d278843a076347bff2a3cbdd4ba372c7676575.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Short-sleeved linen-blend shirt","Short-sleeved shirt in an airy cotton and linen blend with a resort collar, French front and a yoke at the back. Open chest pocket and a straight-cut hem with a slit on each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Light beige","Reviews [7]","4.3"
"1756122575-148","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved shirt","https://www2.hm.com/en_in/productpage.1285019001.html","https://image.hm.com/assets/hm/bf/17/bf1754754f5ea433bc95cf2170dfd18fe50cf7f8.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Short-sleeved shirt","Short-sleeved shirt in a cotton weave with a turn-down collar, French front, yoke at the back and an open chest pocket. Straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","White/Grey striped","Reviews [3]","4.3"
"1756122582-149","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Utility shirt","https://www2.hm.com/en_in/productpage.1281429002.html","https://image.hm.com/assets/hm/3c/c6/3cc6dadd9aa311b1fb29da0f1fd83e3d597abd0b.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Utility shirt","Utility shirt in sturdy jersey with a turn-down collar, buttons down the front, a yoke with a box pleat at the back and patch chest pockets with a button. Long sleeves with a slit and adjustable buttoning at the cuffs. Straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","S

M

L","Dark brown","",""
"1756122589-150","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Fine-knit shirt","https://www2.hm.com/en_in/productpage.1286240001.html","https://image.hm.com/assets/hm/5b/ab/5bab7a84b60507f46c3a01196b947ac3498ee3e6.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Fine-knit shirt","Short-sleeved shirt in a fine knit with a turn-down collar, buttons down the front and a straight hem with a slit on each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Navy blue","",""
"1756122597-151","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Lyocell resort shirt","https://www2.hm.com/en_in/productpage.1283842001.html","https://image.hm.com/assets/hm/53/93/53939361c17d41f6db3e2baaac9a626ffe32dd2e.jpg?imwidth=2160","Rs. 2,699.00","Regular Fit Lyocell resort shirt","Short-sleeved shirt in a lyocell weave with a resort collar, French front, a yoke at the back, an open chest pocket and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette. Fabric made from lyocell is super soft, wrinkle resistant and drapes beautifully.","XS

S

M

L

XL

XXL","Black","",""
"1756122604-152","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Resort shirt","https://www2.hm.com/en_in/productpage.1292130001.html","https://image.hm.com/assets/hm/9b/c2/9bc251a46c3b636820ce0dcca1a6547783b0bed7.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Resort shirt","Short-sleeved shirt in an airy weave made from a viscose blend with a resort collar, French front and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","White/Grey striped","",""
"1756122610-153","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved shirt","https://www2.hm.com/en_in/productpage.1300060002.html","https://image.hm.com/assets/hm/a6/6e/a66e6db523220a6dd11db90f9638a95d6e953c6b.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Short-sleeved shirt","Short-sleeved shirt in a soft weave made from a cotton blend with a turn-down collar, classic front, chest pocket, yoke at the back and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","White/Striped","",""
"1756122617-154","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Oversized Fit Short-sleeved linen-blend shirt","https://www2.hm.com/en_in/productpage.1282252002.html","https://image.hm.com/assets/hm/67/f1/67f1f2f432132103ebe6e021b0b5fcc97e49812f.jpg?imwidth=2160","Rs. 2,299.00","Oversized Fit Short-sleeved linen-blend shirt","Short-sleeved shirt in an airy cotton and linen blend with a turn-down collar, a classic front, an open chest pocket and a straight-cut hem. Oversized fit for a baggy, extra-loose silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Beige/Checked","Reviews [1]","4"
"1756122624-155","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Cotton shirt","https://www2.hm.com/en_in/productpage.1297891001.html","https://image.hm.com/assets/hm/55/fc/55fc71354567accd866784dd6c12f9bc814030b3.jpg?imwidth=2160","Rs. 2,299.00","Slim Fit Cotton shirt","Shirt in a cotton weave with a cut-away collar, a French front, a yoke at the back and a rounded hem. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","White","",""
"1756122630-156","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Cotton shirt","https://www2.hm.com/en_in/productpage.1297891003.html","https://image.hm.com/assets/hm/19/1b/191b786481fad7ea57ab1a3ff62246d2246dea45.jpg?imwidth=2160","Rs. 2,299.00","Slim Fit Cotton shirt","Shirt in a cotton weave with a cut-away collar, a French front, a yoke at the back and a rounded hem. Long sleeves with adjustable buttoning at the cuffs and a sleeve placket with a link button. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","Blue","",""
"1756122637-157","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend resort shirt","https://www2.hm.com/en_in/productpage.1277588002.html","https://image.hm.com/assets/hm/a1/77/a1774dbb713a24ffca2afeeb7dea6ec016c43451.jpg?imwidth=2160","Rs. 2,699.00","Regular Fit Linen-blend resort shirt","Shirt in an airy cotton and linen weave with a resort collar, French front, short sleeves and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","White/Beige patterned","",""
"1756122643-158","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Patterned resort shirt","https://www2.hm.com/en_in/productpage.1289800002.html","https://image.hm.com/assets/hm/10/02/1002cdc4ed09b85973f6aa00d9cab8ce1997e713.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Patterned resort shirt","Short-sleeved shirt in an airy weave with a printed pattern. Resort collar, French front, and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Light beige/Patterned","",""
"1756122649-159","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Ribbed resort shirt","https://www2.hm.com/en_in/productpage.1289418001.html","https://image.hm.com/assets/hm/b5/f8/b5f855575bbf7491e43349d7af98adcddb485e81.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Ribbed resort shirt","Short-sleeved shirt in ribbed jersey made from a cotton blend with a resort collar, French front and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Sage green","",""
"1756122654-160","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen resort shirt","https://www2.hm.com/en_in/productpage.1263284001.html","https://image.hm.com/assets/hm/0d/35/0d355604996a1478fbac1321c14ae77b01aae833.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Linen resort shirt","Short-sleeved shirt in airy linen with a resort collar, French front, yoke at the back, chest pocket and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette. Fabric made from linen is breathable, beautiful both ironed and wrinkled, and softens over time.","XS

S

M

L

XL

XXL","White","",""
"1756122660-161","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Loose Fit Flannel shirt","https://www2.hm.com/en_in/productpage.1265290002.html","https://image.hm.com/assets/hm/48/27/48277fb0a838f4e88512e0128811949b09b7568a.jpg?imwidth=2160","Rs. 2,299.00","Loose Fit Flannel shirt","Shirt in soft cotton flannel with a turn-down collar, classic front, yoke at the back and an open chest pocket. Long sleeves with buttoned cuffs and a sleeve placket, and a gently rounded hem. Loose fit for a generous but not oversized silhouette.","XS

S

M

L

XL

XXL","Beige/Checked","Reviews [5]","4.2"
"1756122667-162","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved linen-blend shirt","https://www2.hm.com/en_in/productpage.1256946003.html","https://image.hm.com/assets/hm/5e/8a/5e8a2a7bf1fd229827207f42b1a47cb5ee498151.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Short-sleeved linen-blend shirt","Short-sleeved shirt in an airy cotton and linen blend with a resort collar, French front and a yoke at the back. Open chest pocket and a straight-cut hem with a slit on each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Black","Reviews [7]","4.3"
"1756122672-163","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Resort shirt","https://www2.hm.com/en_in/productpage.1290470002.html","https://image.hm.com/assets/hm/85/c4/85c4954529eef2e95ac8c601143e961512169d5b.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Resort shirt","Short-sleeved shirt in jersey made from a cotton blend with a resort collar,  French front, buttoned chest pocket, yoke at the back and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Black","",""
"1756122679-164","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Textured-knit resort shirt","https://www2.hm.com/en_in/productpage.1289983002.html","https://image.hm.com/assets/hm/ff/b7/ffb723bb253524a403d5c449dd8674fdf13aa256.jpg?imwidth=2160","Rs. 2,699.00","Regular Fit Textured-knit resort shirt","Short-sleeved shirt in a textured knit with a resort collar, buttons down the front and a straight hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Khaki green","",""
"1756122686-165","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend resort shirt","https://www2.hm.com/en_in/productpage.1265556004.html","https://image.hm.com/assets/hm/c3/04/c304e1f9c9d7f308baa6c710db8b2056cc3eb351.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Linen-blend resort shirt","Short-sleeved shirt in an airy linen and cotton blend with a resort collar, French front, yoke at the back, chest pocket and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Dark grey","Reviews [6]","3.8"
"1756122694-166","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Slim Fit Tuxedo shirt","https://www2.hm.com/en_in/productpage.1288849001.html","https://image.hm.com/assets/hm/8e/21/8e21b64a5b291b3014c20aff62bff1f16c33dfbf.jpg?imwidth=2160","Rs. 2,999.00","Slim Fit Tuxedo shirt","Tuxedo shirt in a woven cotton blend with a cutaway collar and a top button, a concealed button placket and a yoke at the back. Long sleeves with buttoned cuffs and a sleeve placket with a link button. Rounded hem. Slim fit that hugs the contours of your body, creating a fitted silhouette.","XS

S

M

L

XL

XXL","White","",""
"1756122701-167","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend resort shirt","https://www2.hm.com/en_in/productpage.1286182002.html","https://image.hm.com/assets/hm/50/a3/50a31a1f83f636c33eaf36d63bf5a415c3794fa2.jpg?imwidth=2160","Rs. 2,799.00","Regular Fit Linen-blend resort shirt","Short-sleeved shirt in a fine knit made from a linen blend with a resort collar, French front and a straight hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Sage green","",""
"1756122707-168","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Resort shirt","https://www2.hm.com/en_in/productpage.1265102001.html","https://image.hm.com/assets/hm/98/ed/98ed54d235c133ddbaf6c53a78c30a6a30dd35e5.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Resort shirt","Short-sleeved shirt in a textured knit made from a cotton blend with a resort collar, French front and a straight hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Grey/White","",""
"1756122714-169","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Resort shirt","https://www2.hm.com/en_in/productpage.1273929002.html","https://image.hm.com/assets/hm/dd/50/dd50709f3d3b9b1785cd47c10e3357a49146df81.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Resort shirt","Short-sleeved shirt in a textured knit with a resort collar, French front and a straight hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Dark beige","",""
"1756122720-170","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Textured overshirt","https://www2.hm.com/en_in/productpage.1265205001.html","https://image.hm.com/assets/hm/98/89/988947e5cf2cc3d32b832ae6b4cc1b3d9cdc049c.jpg?imwidth=2160","Rs. 2,999.00","Regular Fit Textured overshirt","Overshirt in a textured cotton weave with a turn-down collar, French front, yoke at the back and open chest pockets. Long sleeves with buttoned cuffs and a sleeve placket. Straight-cut hem. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Cream","",""
"1756122727-171","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Crinkled short-sleeved shirt","https://www2.hm.com/en_in/productpage.1263275003.html","https://image.hm.com/assets/hm/f1/8c/f18cdaaa4183e7c4aca7dc5bfa0bf7d5322e734f.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Crinkled short-sleeved shirt","Short-sleeved shirt in a crinkled cotton weave featuring a turn-down collar, French front, yoke at the back and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Beige","",""
"1756122733-172","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend resort shirt","https://www2.hm.com/en_in/productpage.1262042001.html","https://image.hm.com/assets/hm/fa/84/fa847c63c8d10705e7c3b9af94c3949cf31481ad.jpg?imwidth=2160","Rs. 2,299.00","Regular Fit Linen-blend resort shirt","Short-sleeved shirt in an airy linen and cotton weave with a resort collar, French front, yoke at the back, chest pocket and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Beige","",""
"1756122739-173","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved linen-blend shirt","https://www2.hm.com/en_in/productpage.1263276001.html","https://image.hm.com/assets/hm/30/02/3002577936c3775eb1a8e0fa96ec45434fa4276f.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Short-sleeved linen-blend shirt","Short-sleeved shirt in an airy weave made from a cotton and linen blend with a turn-down collar, French front and a yoke at the back. Open chest pocket and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","White","",""
"1756122745-174","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Short-sleeved linen-blend shirt","https://www2.hm.com/en_in/productpage.1263276002.html","https://image.hm.com/assets/hm/33/2b/332bd2bd7aae933758ad4c4deb02cc9efab8bcff.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Short-sleeved linen-blend shirt","Short-sleeved shirt in an airy weave made from a cotton and linen blend with a turn-down collar, French front and a yoke at the back. Open chest pocket and a straight-cut hem. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","Light beige","",""
"1756122752-175","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Crinkled short-sleeved shirt","https://www2.hm.com/en_in/productpage.1263275002.html","https://image.hm.com/assets/hm/aa/a5/aaa52ba7b42271790e57a6ac64f26abb70c20b5d.jpg?imwidth=2160","Rs. 1,999.00","Regular Fit Crinkled short-sleeved shirt","Short-sleeved shirt in a crinkled cotton weave featuring a turn-down collar, French front, yoke at the back and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","White","",""
"1756122758-176","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Linen-blend resort shirt","https://www2.hm.com/en_in/productpage.1277588001.html","https://image.hm.com/assets/hm/51/a0/51a084dd9a22af45eb763b57445770f8573799c8.jpg?imwidth=2160","Rs. 2,699.00","Regular Fit Linen-blend resort shirt","Shirt in an airy cotton and linen weave with a resort collar, French front, short sleeves and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette. Cotton and linen blends combine the softness of cotton with the sturdiness of linen, creating a beautiful, textured fabric that is breathable and drapes perfectly.","XS

S

M

L

XL

XXL","White/Grey patterned","",""
"1756122764-177","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Regular Fit Textured-weave resort shirt","https://www2.hm.com/en_in/productpage.1263274004.html","https://image.hm.com/assets/hm/53/b6/53b608671e9fc355fc31d1f7d26ce20da20f9eb0.jpg?imwidth=2160","Rs. 1,499.00","Regular Fit Textured-weave resort shirt","Short-sleeved shirt in a textured weave made from a viscose blend with a resort collar, French front and a straight-cut hem with a slit at each side. Regular fit for comfortable wear and a classic silhouette.","XS

S

M

L

XL

XXL","Grey","Reviews [10]","4.7"
"1756122770-178","https://www2.hm.com/en_in/men/shop-by-product/shirts.html","","Oversized Fit Flannel overshirt","https://www2.hm.com/en_in/productpage.1264927001.html","https://image.hm.com/assets/hm/8e/a9/8ea961f639d45c3d3ecda7f9664e9bee09364f7f.jpg?imwidth=2160","Rs. 3,999.00","Oversized Fit Flannel overshirt","Lightly padded overshirt in cotton flannel featuring a turn-down collar, classic front with press-studs, yoke at the back, flap chest pockets with a concealed press-stud and discreet side pockets. Straight-cut hem with a slit at each side. Long sleeves with a sleeve placket and a press-stud at the cuffs. Quilted lining. Oversized fit for a baggy, extra-loose silhouette.","XS

S

M

L

XL

XXL","Dark grey/Checked","",""
