pdp_url,product_name,selling_price,regular_price,review,rating,warning,ingredient,instructionforuse,image
https://www.safeway.com/shop/product-details.960016355.html,Stonefire Tandoor Baked Original Naan - 8.8 Oz,3.99,3.99,10,4.6,"Contains wheat, milk and eggs. May contain soy and sesame.","Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added as Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Buttermilk (Nonfat Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean Oil, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (Sodium Acid Pyrophosphate, Baking Soda, Cornstarch, Monocalcium Phosphate), Sea Salt, Ghee (Clarified Butter), Wheat Gluten, Dextrose, Dextrin, Carrot Fiber, Yeast.","400 degrees F (200 degrees C) for 2-3 minutes. 5-6 minutes from frozen. Grill at 350 degrees F (180 degrees C) for 1-2 minutes. 4-5 minutes from frozen. Toast: Heat at medium setting. Wrap top and bottom with paper towel. High setting 15-30 seconds. 30-45 seconds from frozen.
Better served warm. Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter.
Can be frozen to maintain freshness.",https://images.albertsons-media.com/is/image/ABS/960016355
https://www.safeway.com/shop/product-details.196011605.html,Alessi Thin Breadsticks - 3 Oz,2.99,3.49,2,5.0,"Allergy Warning: Contains wheat. May contain traces of sesame, milk, soy, mustard.","Wheat Flour, Extra Virgin Olive Oil, Salt, Yeast, Malt.",,https://images.albertsons-media.com/is/image/ABS/196011605
https://www.safeway.com/shop/product-details.960483166.html,Josephs Lavash Bread Flax 4 Count - 9 Oz,3.49,3.49,5,5.0,"Contains: wheat, soy.","Water, Whole Wheat Flour, Wheat Gluten, Oat Fiber, Corn Starch, Soy Flour, Defatted Soy Flour, Soy Protein Isolate, Soybean Oil, Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Salt, Calcium Sulfate, Sodium Acid Pyrophosphate, Flaxseed, and 2% or Less of Each of the Following: Dextrose, Sodium Acid Pyrophosphate, Sodium Bicarbonate, Calcium Propionate, Potassium Sorbate, Fumaric Acid, Monoglyceride, Sodium Metabisulfite, L‑Cysteine (Plant-based), Ascorbic Acid, Enzymes, Oat Bran, Yeast, Microcrystalline Cellulose, Corn Starch.",Store at room temperature.,https://images.albertsons-media.com/is/image/ABS/960483166
https://www.safeway.com/shop/product-details.196011573.html,Alessi Sesame Breadsticks - 4.4 Oz,3.49,3.49,1,5.0,"Allergy Warning: contains wheat flour, sesame seeds. This product is manufactured on equipment that also processes products containing egg, milk and peanut oil.","Wheat Flour, Sesame Seeds, Extra Virgin Olive Oil, Yeast, Malt, Salt.",,https://images.albertsons-media.com/is/image/ABS/196011573
https://www.safeway.com/shop/product-details.960453899.html,Signature SELECT Original Mini Naan 4 Count,3.49,3.99,105,4.78,"Contains: wheat, eggs, milk. May contain: soy, sesame.","Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid [Added as Dough Conditioner], Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Buttermilk (Skim Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean and/or Canola Oil, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Cornstarch, Monocalcium Phosphate), Sea Salt, Ghee (Clarified Butter), Wheat Gluten, Dextrose, Dextrin, Vegetable Fiber, Yeast.","Preparation: Better served warm! Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter. Cooking Method: Oven. Temperature: 400 degrees F (200 degrees C). Cooking Times: 1 minute from fresh. 2 minutes from frozen.Best served warm.Refrigerate after opening.",https://images.albertsons-media.com/is/image/ABS/960453899
https://www.safeway.com/shop/product-details.970500224.html,Joseph's Flax Oat Bran & Whole Wheat Pita Bread 6 Count - 8 Oz,3.49,3.49,8,4.13,"Contains: wheat, soy.","Water, Whole Wheat Flour, Wheat Gluten, Oat Fiber, Corn Starch, Soy Flour, Soy Protein Isolate, Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mono-Nitrate, Riboflavin, Folic Acid], Golden Flax Seed, Yeast, Contains Less than 2% of Soybean Oil, Oat Bran, Salt, Calcium Sulfate, Sodium Acid Pyrophosphate, Dextrose, Sodium Bicarbonate, Potassium Sorbate, Fumaric Acid, Monoglyceride, Sodium Metabisulfite, Calcium Propionate, Plant-Based L-Cysteine (Microcrystalline Cellulose, Plant-Based L-Cysteine, Corn Starch), Enzymes.",Store at room temperature.,https://images.albertsons-media.com/is/image/ABS/970500224
https://www.safeway.com/shop/product-details.960274210.html,Stonefire Mini Authentic Naan Bread - 7.05 Oz,3.99,3.99,4,5.0,"Contains wheat, milk and eggs. May contain soy and sesame.","Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added as Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Buttermilk (Nonfat Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean Oil, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (Sodium Acid Pyrophosphate, Baking Soda, Cornstarch, Monocalcium Phosphate), Sea Salt, Ghee (Clarified Butter), Wheat Gluten, Dextrose, Dextrin, Carrot Fiber, Yeast.","Bake: 400 degrees F (200 degrees C) for 1 minute. 2 Minutes from frozen. Grill: 350 degrees F(180 degrees C) - 1-2 minutes. 4-5 minutes from frozen. Toast: Heat at medium setting. Microwave: Wrap top and bottom with paper towel. High setting for 15 seconds. 20-30 seconds from frozen.Better served warm. Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter.Can be frozen to maintain freshness.",https://images.albertsons-media.com/is/image/ABS/960274210
https://www.safeway.com/shop/product-details.970671512.html,Josephs Original Pita Bread - 4 Count,3.49,3.49,16,4.25,"Contains: Wheat, Soy","Water, Enriched Wheat Flour ([Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid], Malted Barley Flour), Wheat Gluten, Oat Fiber, Potato Flour, Yeast, Contains Less Than 2% of Each of the Following: Soybean Oil, Grape Juice, Rice Syrup, Carrot Fiber, Sugar, Salt, Calcium Propionate, Monoglycerides, Citric Acid, Ascorbic Acid, Calcium Sulfate, Salt, Enzymes, Xanthan Gum, L‑Cysteine (Plant-based), Corn Starch.",Store at room temperature.,https://images.albertsons-media.com/is/image/ABS/970671512
https://www.safeway.com/shop/product-details.970078279.html,Stonefire Garlic Mini Naan 4 Count - 7.05 OZ,3.99,3.99,2416,4.77,"Contains: wheat, milk and eggs. May Contain: soy and sesame.","Enriched Wheat Flour Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added as a Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Buttermilk (Nonfat Milk, Dry Buttermilk, Bacterial Culture), Water, Soybean Oil, Roasted Garlic, Cultured Wheat Flour, Eggs, Sugar, Baking Powder (Sodium Acid Pyrophosphate, Baking Soda, Cornstarch, Monocalcium Phosphate), Sea Salt, Ghee (Clarified Butter), Wheat Gluten, Cilantro, Dextrose, Dextrin, Carrot Fiber, Yeast.",400 degrees F (200 degrees C) for 1 minute. 2 minutes from frozen. 350 degrees F (180 degrees C) 1-2 minutes. 4-5 minutes from frozen. Toast: Heat at medium setting. Microwave: Wrap top and bottom with paper towel. High setting for 15 seconds. 20-30 seconds from frozen.,https://images.albertsons-media.com/is/image/ABS/970078279
https://www.safeway.com/shop/product-details.960525219.html,Stonefire Original Naan - 12.7 Oz,5.99,5.99,8,4.88,"Contains: wheat and milk. May contain: eggs, soy and sesame.","Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Ascorbic Acid Added as a Dough Conditioner, Thiamine Mononitrate, Riboflavin, Enzyme, Folic Acid), Water, Buttermilk (Nonfat Milk, Dry Buttermilk, Bacterial, Culture), Soybean Oil, Modified Wheat Starch, Cultured Wheat Flour, Sugar, Salt, Ghee (Clarified Butter), Dextrose, Acacia, Leavening (Sodium Acid Pyrophosphate, Baking Soda), Yeast, Mono-and Diglycerides, Enzymes.","Better served warm. Remove naan from packaging. Spritz with water before heating. Once warmed, lightly brush with olive oil or butter. Bake: 400 degrees F (200 degrees C) for 1-2 minutes. 2-3 minutes from frozen. Grill: Grill at 350 degrees F (180 degrees C) for 1-2 minutes. 2-3 minutes from frozen. Toast: Heat at medium setting. Microwave: Wrap top and bottom with paper towel. High setting for 10-15 seconds. 15-25 seconds from frozen.Bacon chicken salad sandwich. Veggie sandwich.",https://images.albertsons-media.com/is/image/ABS/960525219
